geo_unit,Solo Adult,Adult Couple,Adult multi-house,Adult with Children,Couple with Children,Adults with Children
TEMP000314,33,26,6,12,44,7
TEMP000315,35,36,9,24,35,4
TEMP000316,38,29,12,21,34,8
TEMP000317,43,30,5,22,37,4
TEMP000318,35,20,6,20,34,11
TEMP000319,28,27,10,19,38,8
TEMP000320,27,27,10,19,34,7
TEMP000321,40,25,9,18,39,6
TEMP000322,30,34,7,19,31,9
TEMP000323,23,31,11,15,44,0
TEMP000324,40,37,6,16,41,3
TEMP000325,38,30,11,20,40,3
TEMP000326,28,25,14,31,30,5
TEMP000327,35,25,14,21,39,2
TEMP000328,43,32,8,17,43,4
TEMP000329,44,27,9,19,38,3
TEMP000330,27,33,14,18,38,7
TEMP000331,46,23,7,16,44,3
TEMP000332,39,26,10,21,37,4
TEMP000333,30,39,9,21,30,11
TEMP000334,43,25,10,23,28,12
TEMP000335,29,34,10,23,39,4
TEMP000336,39,27,11,20,38,5
TEMP000337,41,36,2,19,38,6
TEMP000338,33,29,8,20,38,8
TEMP000339,40,31,7,17,44,5
TEMP000340,40,23,7,17,44,5
TEMP000341,28,33,7,21,41,6
TEMP000342,30,38,5,21,34,9
TEMP000343,25,31,7,11,46,3
TEMP000344,38,31,14,17,34,3
TEMP000345,35,28,11,26,32,5
TEMP000346,35,32,7,18,39,6
TEMP000347,35,31,11,26,31,5
TEMP000348,31,34,6,17,37,7
TEMP000349,32,37,7,17,36,9
TEMP000350,32,31,11,15,42,6
TEMP000351,39,26,10,22,41,3
TEMP000352,28,29,11,22,32,8
TEMP000353,38,27,7,16,44,6
TEMP000354,35,39,8,18,36,4
TEMP000355,24,36,10,16,41,3
TEMP000356,34,29,6,20,37,5
TEMP000357,30,30,8,17,39,7
TEMP000358,30,24,10,16,38,9
TEMP000359,33,33,8,19,35,7
TEMP000360,54,30,8,18,35,7
TEMP000361,32,40,6,15,35,6
TEMP000362,27,28,14,20,34,5
TEMP000363,44,37,7,14,38,4
TEMP000364,32,27,10,22,35,6
TEMP000365,33,26,10,26,30,6
TEMP000366,34,23,9,22,36,6
TEMP000367,13,4,6,12,13,4
TEMP000368,13,19,4,6,18,3
TEMP000369,19,7,4,6,18,3
TEMP000370,18,15,2,8,18,3
TEMP000371,16,15,3,8,17,2
TEMP000372,11,16,5,6,17,3
TEMP000373,18,14,4,5,18,1
TEMP000374,15,13,3,8,15,3
TEMP000375,15,11,4,6,18,3
TEMP000376,13,10,9,8,15,4
TEMP000377,13,10,3,10,18,3
TEMP000378,18,18,4,12,14,1
TEMP000379,14,15,3,10,16,2
TEMP000380,15,17,3,7,16,3
TEMP000381,21,17,4,5,16,3
TEMP000382,14,8,4,4,23,3
TEMP000383,12,13,4,8,16,4
TEMP000384,11,8,7,5,19,2
TEMP000385,17,9,3,11,16,3
TEMP000386,9,14,4,7,19,3
TEMP000387,14,11,4,8,20,0
TEMP000388,14,15,4,8,16,1
TEMP000389,14,12,3,6,18,3
TEMP000390,17,12,2,6,16,4
TEMP000391,14,15,3,6,18,1
TEMP000392,11,15,3,6,18,2
TEMP000393,12,13,3,11,16,3
TEMP000394,18,8,3,6,17,3
TEMP000395,13,9,6,7,19,1
TEMP000396,14,6,4,9,17,3
TEMP000397,11,16,5,5,16,3
TEMP000398,12,15,2,5,17,5
TEMP000399,15,15,5,12,13,1
TEMP000400,14,13,5,6,18,1
TEMP000401,19,16,2,7,20,1
TEMP000402,14,12,3,9,13,5
TEMP000403,13,10,3,7,18,4
TEMP000404,10,12,1,8,16,5
TEMP000405,11,12,4,12,18,1
TEMP000406,10,12,8,10,16,1
TEMP000407,16,14,3,9,16,3
TEMP000408,13,10,4,10,18,0
TEMP000409,13,12,5,6,15,4
TEMP000410,16,14,4,7,17,2
TEMP000411,17,9,9,9,12,5
TEMP000412,17,6,5,6,20,1
TEMP000413,17,12,1,6,22,0
TEMP000414,14,12,4,7,20,3
TEMP000415,16,10,6,8,14,4
TEMP000416,19,17,2,8,18,1
TEMP000417,7,16,4,9,17,2
TEMP000418,22,20,0,6,19,2
TEMP000419,15,7,4,14,14,4
TEMP000420,10,9,8,6,17,3
TEMP000421,7,12,7,4,17,4
TEMP000422,21,8,4,11,17,3
TEMP000423,16,16,6,7,14,1
TEMP000424,12,19,4,9,11,5
TEMP000425,11,11,3,4,18,5
TEMP000426,15,8,2,9,8,9
TEMP000427,12,13,5,6,14,3
TEMP000428,13,10,3,6,17,2
TEMP000429,18,10,2,9,17,2
TEMP000430,18,11,3,5,18,2
TEMP000431,8,14,3,6,15,4
TEMP000432,17,9,4,6,15,4
TEMP000433,7,10,7,13,12,3
TEMP000434,18,12,4,4,14,3
TEMP000435,10,16,4,11,14,2
TEMP000436,10,12,8,8,13,5
TEMP000437,9,9,8,4,18,1
TEMP000438,3,14,5,6,14,4
TEMP000439,13,12,1,6,18,3
TEMP000440,24,8,5,14,13,0
TEMP000441,503,397,132,275,523,91
TEMP000442,17,13,4,11,10,4
TEMP000443,12,14,3,11,13,2
TEMP000444,17,10,4,10,15,1
TEMP000445,6,7,7,14,12,1
TEMP000446,11,14,5,7,17,1
TEMP000447,15,8,4,7,14,3
TEMP000448,18,11,3,11,16,0
TEMP000449,15,14,1,9,14,2
TEMP000450,22,8,5,4,22,4
TEMP000451,7,11,4,9,17,1
TEMP000452,11,17,1,9,13,3
TEMP000453,13,15,2,7,19,2
TEMP000454,13,14,2,7,15,3
TEMP000455,16,13,1,9,15,2
TEMP000456,12,10,2,4,20,2
TEMP000457,18,16,3,3,17,5
TEMP000458,16,10,4,11,14,1
TEMP000459,16,14,3,9,14,2
TEMP000460,16,13,4,10,13,4
TEMP000461,15,14,6,7,13,1
TEMP000462,16,12,7,5,17,1
TEMP000463,12,5,5,5,19,2
TEMP000464,14,18,2,9,14,1
TEMP000465,10,10,7,9,13,3
TEMP000466,10,8,6,6,20,0
TEMP000467,15,13,3,8,12,4
TEMP000468,10,17,2,6,17,3
TEMP000469,16,11,4,7,17,2
TEMP000470,10,9,4,10,17,1
TEMP000471,11,15,7,7,15,1
TEMP000472,12,11,5,8,12,5
TEMP000473,13,10,4,4,17,3
TEMP000474,19,10,3,3,15,5
TEMP000475,16,11,6,6,18,2
TEMP000476,16,9,7,5,18,5
TEMP000477,16,14,2,7,11,5
TEMP000478,15,13,5,5,19,0
TEMP000479,8,9,7,11,13,2
TEMP000480,18,13,3,10,14,2
TEMP000481,9,15,5,8,11,6
TEMP000482,22,17,2,10,12,1
TEMP000483,9,9,4,9,21,0
TEMP000484,8,10,7,8,16,2
TEMP000485,18,12,3,10,16,0
TEMP000486,9,16,6,7,15,0
TEMP000487,12,11,3,7,18,1
TEMP000488,13,13,1,5,19,3
TEMP000489,10,12,3,5,19,1
TEMP000490,19,10,1,8,18,1
TEMP000491,13,7,5,16,13,2
TEMP000492,17,8,7,5,15,1
TEMP000493,16,11,4,14,15,0
TEMP000494,8,11,5,10,16,1
TEMP000495,18,10,2,7,18,1
TEMP000496,11,8,0,2,12,3
TEMP000497,5,9,3,6,9,4
TEMP000498,7,9,1,4,12,1
TEMP000499,15,7,3,6,9,0
TEMP000500,7,6,3,5,12,0
TEMP000501,10,9,2,4,10,2
TEMP000502,12,9,0,5,13,1
TEMP000503,5,7,5,2,10,2
TEMP000504,10,6,3,1,14,2
TEMP000505,10,8,4,4,11,0
TEMP000506,6,3,4,7,12,0
TEMP000507,8,5,5,5,11,1
TEMP000508,12,8,0,6,12,0
TEMP000509,9,6,2,4,12,2
TEMP000510,4,10,3,5,11,2
TEMP000511,10,7,3,3,11,2
TEMP000512,11,7,2,7,11,0
TEMP000513,3,13,1,2,13,1
TEMP000514,16,15,2,10,17,6
TEMP000515,7,4,1,3,12,3
TEMP000516,6,10,1,9,8,3
TEMP000517,9,5,1,6,13,1
TEMP000518,16,10,1,3,10,1
TEMP000519,10,11,2,4,10,2
TEMP000520,9,10,2,5,9,1
TEMP000521,9,7,5,4,9,1
TEMP000522,9,8,2,5,11,2
TEMP000523,10,4,5,1,9,3
TEMP000524,7,7,1,7,9,2
TEMP000525,6,1,5,8,12,1
TEMP000526,6,9,2,4,10,2
TEMP000527,4,9,4,3,10,2
TEMP000528,7,9,2,5,10,1
TEMP000529,14,9,2,7,12,0
TEMP000530,10,9,3,5,8,2
TEMP000531,10,7,1,6,8,3
TEMP000532,9,5,3,7,8,2
TEMP000533,6,5,4,2,14,1
TEMP000534,11,5,2,3,10,4
TEMP000535,11,10,2,6,7,2
TEMP000536,16,6,0,4,10,3
TEMP000537,10,5,2,6,12,1
TEMP000538,8,5,3,3,14,1
TEMP000539,5,2,4,5,13,1
TEMP000540,8,8,2,5,10,2
TEMP000541,8,6,1,2,11,3
TEMP000542,12,6,2,5,11,3
TEMP000543,14,5,3,5,8,2
TEMP000544,6,13,7,10,16,0
TEMP000545,7,9,0,7,9,2
TEMP000546,9,9,0,6,7,4
TEMP000547,11,7,3,6,11,1
TEMP000548,11,11,1,9,8,0
TEMP000549,4,3,3,2,12,2
TEMP000550,8,8,4,6,11,0
TEMP000551,8,9,2,4,11,1
TEMP000552,7,9,3,5,13,0
TEMP000553,7,8,2,10,8,2
TEMP000554,10,4,6,4,8,2
TEMP000555,6,4,4,5,11,2
TEMP000556,12,7,2,7,11,0
TEMP000557,10,9,1,5,10,2
TEMP000558,7,8,3,9,5,3
TEMP000559,10,5,4,5,12,0
TEMP000560,7,6,2,6,9,2
TEMP000561,7,8,2,6,11,1
TEMP000562,8,6,3,5,9,3
TEMP000563,10,4,4,6,9,3
TEMP000564,11,7,2,5,10,1
TEMP000565,3,5,6,6,9,2
TEMP000566,20,11,3,5,21,5
TEMP000567,11,9,0,6,10,2
TEMP000568,9,11,1,1,13,2
TEMP000569,6,7,2,3,13,1
TEMP000570,10,5,2,6,9,4
TEMP000571,9,9,3,5,12,0
TEMP000572,9,9,2,7,8,1
TEMP000573,10,9,5,5,9,0
TEMP000574,10,5,2,4,15,1
TEMP000575,7,7,3,6,9,3
TEMP000576,10,9,2,4,13,1
TEMP000577,8,9,2,5,9,2
TEMP000578,10,9,4,3,11,3
TEMP000579,6,11,2,2,11,3
TEMP000580,15,11,1,10,8,0
TEMP000581,16,6,4,8,7,0
TEMP000582,9,4,4,5,7,3
TEMP000583,11,7,1,8,8,3
TEMP000584,8,8,2,6,10,1
TEMP000585,8,4,4,11,8,0
TEMP000586,9,8,3,7,9,1
TEMP000587,5,2,4,5,6,6
TEMP000588,6,8,3,11,8,0
TEMP000589,5,9,2,9,9,2
TEMP000590,13,6,3,5,10,2
TEMP000591,13,10,2,6,9,1
TEMP000592,6,7,4,3,11,2
TEMP000593,13,2,3,4,12,2
TEMP000594,9,4,4,5,8,4
TEMP000595,16,7,5,5,11,0
TEMP000596,8,12,3,3,13,0
TEMP000597,12,7,1,6,10,1
TEMP000598,10,10,2,6,10,0
TEMP000599,12,6,3,5,11,2
TEMP000600,9,11,4,4,9,1
TEMP000601,15,7,2,9,9,0
TEMP000602,8,6,2,6,10,3
TEMP000603,11,9,3,5,8,2
TEMP000604,16,7,3,2,10,2
TEMP000605,12,9,4,4,9,1
TEMP000606,6,5,5,5,7,4
TEMP000607,9,11,1,7,7,2
TEMP000608,6,4,4,5,10,3
TEMP000609,35,27,10,23,30,10
TEMP000610,38,20,13,15,35,10
TEMP000611,31,31,6,18,41,6
TEMP000612,36,34,14,15,36,7
TEMP000613,38,27,12,15,34,7
TEMP000614,36,23,6,24,34,9
TEMP000615,39,35,6,20,36,4
TEMP000616,34,23,8,16,39,6
TEMP000617,33,26,10,18,35,9
TEMP000618,41,25,9,21,32,7
TEMP000619,34,18,13,17,41,8
TEMP000620,27,32,14,30,26,8
TEMP000621,28,33,9,22,35,6
TEMP000622,28,22,7,24,40,5
TEMP000623,41,23,10,25,33,5
TEMP000624,51,23,9,13,36,7
TEMP000625,33,22,13,21,39,5
TEMP000626,30,30,11,21,37,3
TEMP000627,33,29,11,20,36,9
TEMP000628,32,26,12,19,32,10
TEMP000629,40,22,10,16,35,12
TEMP000630,31,27,9,18,38,9
TEMP000631,40,27,12,16,39,3
TEMP000632,40,33,9,17,38,4
TEMP000633,23,29,11,18,40,5
TEMP000634,30,34,6,24,37,3
TEMP000635,28,39,6,14,42,6
TEMP000636,24,30,13,21,35,7
TEMP000637,28,39,12,19,39,4
TEMP000638,40,30,10,20,32,5
TEMP000639,42,22,10,18,38,4
TEMP000640,39,28,8,26,36,4
TEMP000641,30,19,9,30,32,7
TEMP000642,21,33,10,21,37,5
TEMP000643,26,23,14,21,38,7
TEMP000644,30,25,10,21,39,5
TEMP000645,32,29,12,24,33,7
TEMP000646,32,29,9,24,34,5
TEMP000647,28,24,16,22,32,9
TEMP000648,31,30,12,23,32,7
TEMP000649,32,31,9,14,44,5
TEMP000650,36,29,13,18,35,6
TEMP000651,40,17,13,21,32,10
TEMP000652,37,21,10,17,40,6
TEMP000653,39,24,13,25,35,2
TEMP000654,40,35,6,19,36,6
TEMP000655,31,24,10,16,37,9
TEMP000656,40,20,7,14,42,10
TEMP000657,32,27,17,16,37,9
TEMP000658,35,23,10,18,36,9
TEMP000659,38,30,11,18,43,2
TEMP000660,34,25,7,18,39,5
TEMP000661,14,22,5,12,26,5
TEMP000662,34,36,8,16,34,6
TEMP000663,29,22,6,16,40,7
TEMP000664,38,29,9,15,42,5
TEMP000665,31,34,8,24,34,6
TEMP000666,40,20,12,13,37,9
TEMP000667,44,24,8,21,43,5
TEMP000668,36,27,10,16,43,2
TEMP000669,29,30,12,22,33,9
TEMP000670,44,30,6,12,43,7
TEMP000671,48,38,8,16,41,3
TEMP000672,33,22,13,20,37,5
TEMP000673,42,34,7,20,36,4
TEMP000674,41,29,7,11,41,9
TEMP000675,37,35,8,18,41,4
TEMP000676,30,31,8,19,30,9
TEMP000677,43,36,7,23,34,4
TEMP000678,34,26,10,16,41,6
TEMP000679,41,27,11,23,36,6
TEMP000680,34,27,12,17,38,5
TEMP000681,33,34,13,19,33,6
TEMP000682,35,32,12,20,34,8
TEMP000683,30,31,9,22,39,4
TEMP000684,44,23,10,22,41,3
TEMP000685,24,37,9,15,43,5
TEMP000686,31,23,11,13,40,5
TEMP000687,31,36,10,13,38,7
TEMP000688,36,27,12,20,38,5
TEMP000689,33,37,5,19,38,5
TEMP000690,34,16,11,24,43,4
TEMP000691,30,34,7,18,40,6
TEMP000692,33,34,8,19,40,4
TEMP000693,36,26,8,20,38,5
TEMP000694,40,26,6,13,47,5
TEMP000695,39,25,13,21,41,5
TEMP000696,17,12,2,7,17,4
TEMP000697,29,33,10,25,32,7
TEMP000698,38,32,9,15,35,10
TEMP000699,28,29,12,25,37,6
TEMP000700,35,32,9,18,38,5
TEMP000701,32,35,9,11,40,6
TEMP000702,31,32,9,17,38,4
TEMP000703,27,30,12,22,39,3
TEMP000704,42,19,12,15,40,7
TEMP000705,30,26,14,23,35,5
TEMP000706,30,26,9,16,38,12
TEMP000707,28,27,12,21,38,7
TEMP000708,21,28,11,18,46,6
TEMP000709,38,27,7,24,33,5
TEMP000710,38,29,10,22,35,5
TEMP000711,40,31,11,11,41,7
TEMP000712,22,32,11,28,32,6
TEMP000713,32,32,6,17,34,8
TEMP000714,33,29,11,22,37,5
TEMP000715,30,23,12,16,44,5
TEMP000716,31,33,8,15,40,3
TEMP000717,30,27,13,20,34,8
TEMP000718,25,30,8,16,42,6
TEMP000719,37,41,7,21,36,5
TEMP000720,41,25,9,14,37,9
TEMP000721,30,26,11,19,40,4
TEMP000722,35,30,14,9,39,9
TEMP000723,44,43,9,21,34,4
TEMP000724,23,39,7,16,41,6
TEMP000725,18,16,3,12,15,0
TEMP000726,16,12,2,7,21,0
TEMP000727,10,17,4,9,12,5
TEMP000728,16,14,6,6,17,1
TEMP000729,14,9,7,4,19,3
TEMP000730,12,11,4,9,16,3
TEMP000731,10,14,1,6,17,5
