geo_unit,Adults with children,Adults only
TEMP000220,44.0,50.0
TEMP000221,45.0,47.0
TEMP000222,44.0,50.0
TEMP000223,49.0,39.0
TEMP000224,46.0,45.0
TEMP000225,46.0,45.0
TEMP000226,47.0,43.0
TEMP000227,49.0,38.0
TEMP000228,44.0,50.0
TEMP000229,49.0,39.0
TEMP000230,50.0,36.0
TEMP000231,46.0,46.0
TEMP000232,46.0,45.0
TEMP000233,46.0,45.0
TEMP000234,45.0,48.0
TEMP000235,47.0,43.0
TEMP000236,43.0,52.0
TEMP000237,49.0,38.0
TEMP000238,50.0,36.0
TEMP000239,47.0,42.0
TEMP000240,45.0,48.0
TEMP000241,43.0,52.0
TEMP000242,47.0,43.0
TEMP000243,46.0,45.0
TEMP000244,51.0,34.0
TEMP000245,46.0,45.0
TEMP000246,47.0,44.0
TEMP000247,47.0,42.0
TEMP000248,47.0,43.0
TEMP000249,49.0,39.0
TEMP000250,43.0,52.0
TEMP000251,48.0,41.0
TEMP000252,43.0,52.0
TEMP000253,47.0,42.0
TEMP000254,45.0,47.0
TEMP000255,45.0,48.0
TEMP000256,43.0,53.0
TEMP000257,44.0,50.0
TEMP000258,50.0,36.0
TEMP000259,43.0,52.0
TEMP000260,46.0,46.0
TEMP000261,43.0,53.0
TEMP000262,48.0,41.0
TEMP000263,45.0,47.0
TEMP000264,49.0,38.0
TEMP000265,47.0,43.0
TEMP000266,46.0,46.0
TEMP000267,47.0,44.0
TEMP000268,41.0,58.0
TEMP000269,47.0,43.0
TEMP000270,46.0,45.0
TEMP000271,44.0,50.0
TEMP000272,46.0,45.0
TEMP000273,49.0,39.0
TEMP000274,45.0,47.0
TEMP000275,48.0,41.0
TEMP000276,48.0,41.0
TEMP000277,46.0,45.0
TEMP000278,48.0,41.0
TEMP000279,49.0,38.0
TEMP000280,47.0,43.0
TEMP000281,46.0,45.0
TEMP000282,46.0,45.0
TEMP000283,46.0,45.0
TEMP000284,47.0,43.0
TEMP000285,49.0,39.0
TEMP000286,40.0,59.0
TEMP000287,45.0,47.0
TEMP000288,52.0,32.0
TEMP000289,49.0,38.0
TEMP000290,50.0,37.0
TEMP000291,46.0,45.0
TEMP000292,44.0,51.0
TEMP000293,49.0,39.0
TEMP000294,50.0,36.0
TEMP000295,49.0,38.0
TEMP000296,47.0,44.0
TEMP000297,50.0,36.0
TEMP000298,48.0,41.0
TEMP000299,45.0,47.0
TEMP000300,50.0,36.0
TEMP000301,50.0,37.0
TEMP000302,45.0,48.0
TEMP000303,49.0,38.0
TEMP000304,45.0,47.0
TEMP000305,44.0,49.0
TEMP000306,44.0,49.0
TEMP000307,47.0,42.0
TEMP000308,44.0,50.0
TEMP000309,1233.0,1124.0
TEMP000310,45.0,48.0
TEMP000311,47.0,42.0
TEMP000312,48.0,41.0
TEMP000313,43.0,53.0
TEMP000314,48.0,41.0
TEMP000315,45.0,47.0
TEMP000316,46.0,45.0
TEMP000317,46.0,46.0
TEMP000318,47.0,42.0
TEMP000319,48.0,41.0
TEMP000320,44.0,50.0
TEMP000321,46.0,45.0
TEMP000322,43.0,52.0
TEMP000323,44.0,50.0
TEMP000324,44.0,49.0
TEMP000325,46.0,45.0
TEMP000326,47.0,44.0
TEMP000327,45.0,48.0
TEMP000328,48.0,41.0
TEMP000329,44.0,50.0
TEMP000330,46.0,45.0
TEMP000331,47.0,43.0
TEMP000332,45.0,47.0
TEMP000333,45.0,47.0
TEMP000334,45.0,47.0
TEMP000335,48.0,41.0
TEMP000336,46.0,46.0
TEMP000337,47.0,44.0
TEMP000338,49.0,39.0
TEMP000339,49.0,38.0
TEMP000340,49.0,38.0
TEMP000341,50.0,36.0
TEMP000342,47.0,43.0
TEMP000343,45.0,47.0
TEMP000344,39.0,61.0
TEMP000345,45.0,47.0
TEMP000346,46.0,45.0
TEMP000347,44.0,49.0
TEMP000348,45.0,47.0
TEMP000349,46.0,46.0
TEMP000350,47.0,43.0
TEMP000351,48.0,41.0
TEMP000352,45.0,47.0
TEMP000353,49.0,38.0
TEMP000354,42.0,54.0
TEMP000355,44.0,50.0
TEMP000356,45.0,48.0
TEMP000357,47.0,44.0
TEMP000358,47.0,43.0
TEMP000359,45.0,48.0
TEMP000360,44.0,50.0
TEMP000361,41.0,56.0
TEMP000362,43.0,53.0
TEMP000363,41.0,56.0
TEMP000364,46.0,46.0
TEMP000365,44.0,50.0
TEMP000366,47.0,44.0
TEMP000367,21.0,17.0
TEMP000368,20.0,19.0
TEMP000369,20.0,19.0
TEMP000370,21.0,16.0
TEMP000371,20.0,19.0
TEMP000372,19.0,21.0
TEMP000373,18.0,24.0
TEMP000374,19.0,21.0
TEMP000375,20.0,19.0
TEMP000376,20.0,19.0
TEMP000377,23.0,12.0
TEMP000378,19.0,22.0
TEMP000379,20.0,18.0
TEMP000380,19.0,21.0
TEMP000381,18.0,24.0
TEMP000382,23.0,12.0
TEMP000383,20.0,19.0
TEMP000384,20.0,20.0
TEMP000385,21.0,16.0
TEMP000386,21.0,16.0
TEMP000387,20.0,18.0
TEMP000388,18.0,24.0
TEMP000389,20.0,18.0
TEMP000390,19.0,21.0
TEMP000391,19.0,22.0
TEMP000392,19.0,21.0
TEMP000393,21.0,16.0
TEMP000394,20.0,20.0
TEMP000395,20.0,19.0
TEMP000396,21.0,17.0
TEMP000397,18.0,23.0
TEMP000398,20.0,19.0
TEMP000399,18.0,23.0
TEMP000400,19.0,22.0
TEMP000401,20.0,18.0
TEMP000402,19.0,21.0
TEMP000403,22.0,15.0
TEMP000404,21.0,16.0
TEMP000405,22.0,14.0
TEMP000406,19.0,21.0
TEMP000407,20.0,19.0
TEMP000408,20.0,19.0
TEMP000409,19.0,22.0
TEMP000410,19.0,21.0
TEMP000411,18.0,23.0
TEMP000412,20.0,16.0
TEMP000413,21.0,17.0
TEMP000414,22.0,14.0
TEMP000415,19.0,21.0
TEMP000416,20.0,20.0
TEMP000417,21.0,17.0
TEMP000418,20.0,19.0
TEMP000419,23.0,12.0
TEMP000420,19.0,21.0
TEMP000421,19.0,21.0
TEMP000422,22.0,14.0
TEMP000423,16.0,24.0
TEMP000424,18.0,19.0
TEMP000425,21.0,12.0
TEMP000426,18.0,18.0
TEMP000427,17.0,22.0
TEMP000428,18.0,18.0
TEMP000429,20.0,14.0
TEMP000430,18.0,18.0
TEMP000431,19.0,17.0
TEMP000432,18.0,18.0
TEMP000433,19.0,16.0
TEMP000434,16.0,24.0
TEMP000435,19.0,16.0
TEMP000436,19.0,17.0
TEMP000437,17.0,21.0
TEMP000438,18.0,19.0
TEMP000439,20.0,14.0
TEMP000440,19.0,17.0
TEMP000441,656.0,636.0
TEMP000442,17.0,21.0
TEMP000443,18.0,18.0
TEMP000444,19.0,17.0
TEMP000445,19.0,17.0
TEMP000446,18.0,19.0
TEMP000447,17.0,21.0
TEMP000448,19.0,16.0
TEMP000449,18.0,19.0
TEMP000450,23.0,23.0
TEMP000451,20.0,15.0
TEMP000452,18.0,19.0
TEMP000453,20.0,14.0
TEMP000454,18.0,19.0
TEMP000455,19.0,17.0
TEMP000456,20.0,15.0
TEMP000457,19.0,17.0
TEMP000458,18.0,18.0
TEMP000459,18.0,19.0
TEMP000460,19.0,17.0
TEMP000461,15.0,26.0
TEMP000462,17.0,21.0
TEMP000463,20.0,15.0
TEMP000464,17.0,21.0
TEMP000465,18.0,19.0
TEMP000466,20.0,15.0
TEMP000467,17.0,21.0
TEMP000468,19.0,16.0
TEMP000469,19.0,17.0
TEMP000470,20.0,14.0
TEMP000471,17.0,22.0
TEMP000472,18.0,19.0
TEMP000473,18.0,19.0
TEMP000474,17.0,21.0
TEMP000475,19.0,16.0
TEMP000476,21.0,26.0
TEMP000477,17.0,21.0
TEMP000478,18.0,19.0
TEMP000479,18.0,18.0
TEMP000480,19.0,17.0
TEMP000481,18.0,19.0
TEMP000482,16.0,24.0
TEMP000483,22.0,10.0
TEMP000484,19.0,17.0
TEMP000485,19.0,17.0
TEMP000486,16.0,24.0
TEMP000487,19.0,17.0
TEMP000488,20.0,14.0
TEMP000489,19.0,17.0
TEMP000490,20.0,15.0
TEMP000491,21.0,12.0
TEMP000492,16.0,24.0
TEMP000493,20.0,14.0
TEMP000494,19.0,16.0
TEMP000495,19.0,16.0
TEMP000496,13.0,10.0
TEMP000497,14.0,8.0
TEMP000498,13.0,10.0
TEMP000499,11.0,15.0
TEMP000500,13.0,11.0
TEMP000501,12.0,12.0
TEMP000502,14.0,8.0
TEMP000503,11.0,15.0
TEMP000504,13.0,9.0
TEMP000505,11.0,15.0
TEMP000506,14.0,8.0
TEMP000507,13.0,11.0
TEMP000508,13.0,11.0
TEMP000509,13.0,10.0
TEMP000510,13.0,9.0
TEMP000511,12.0,13.0
TEMP000512,13.0,10.0
TEMP000513,12.0,12.0
TEMP000514,24.0,19.0
TEMP000515,13.0,10.0
TEMP000516,14.0,8.0
TEMP000517,14.0,7.0
TEMP000518,11.0,15.0
TEMP000519,12.0,13.0
TEMP000520,11.0,15.0
TEMP000521,10.0,16.0
TEMP000522,13.0,10.0
TEMP000523,10.0,17.0
TEMP000524,13.0,10.0
TEMP000525,15.0,6.0
TEMP000526,12.0,13.0
TEMP000527,11.0,15.0
TEMP000528,12.0,13.0
TEMP000529,13.0,9.0
TEMP000530,11.0,15.0
TEMP000531,12.0,12.0
TEMP000532,12.0,13.0
TEMP000533,13.0,11.0
TEMP000534,13.0,10.0
TEMP000535,10.0,16.0
TEMP000536,13.0,10.0
TEMP000537,14.0,8.0
TEMP000538,13.0,9.0
TEMP000539,14.0,8.0
TEMP000540,12.0,12.0
TEMP000541,12.0,12.0
TEMP000542,14.0,8.0
TEMP000543,11.0,15.0
TEMP000544,19.0,21.0
TEMP000545,13.0,10.0
TEMP000546,12.0,12.0
TEMP000547,13.0,10.0
TEMP000548,12.0,13.0
TEMP000549,12.0,12.0
TEMP000550,12.0,12.0
TEMP000551,12.0,13.0
TEMP000552,13.0,10.0
TEMP000553,14.0,8.0
TEMP000554,10.0,16.0
TEMP000555,13.0,10.0
TEMP000556,13.0,10.0
TEMP000557,12.0,12.0
TEMP000558,12.0,13.0
TEMP000559,12.0,12.0
TEMP000560,12.0,12.0
TEMP000561,13.0,10.0
TEMP000562,12.0,12.0
TEMP000563,13.0,10.0
TEMP000564,11.0,14.0
TEMP000565,12.0,12.0
TEMP000566,23.0,21.0
TEMP000567,13.0,10.0
TEMP000568,12.0,12.0
TEMP000569,13.0,11.0
TEMP000570,14.0,8.0
TEMP000571,13.0,11.0
TEMP000572,11.0,14.0
TEMP000573,10.0,17.0
TEMP000574,15.0,6.0
TEMP000575,13.0,10.0
TEMP000576,14.0,8.0
TEMP000577,11.0,14.0
TEMP000578,13.0,10.0
TEMP000579,12.0,12.0
TEMP000580,12.0,12.0
TEMP000581,10.0,16.0
TEMP000582,11.0,15.0
TEMP000583,13.0,10.0
TEMP000584,12.0,12.0
TEMP000585,12.0,12.0
TEMP000586,12.0,13.0
TEMP000587,13.0,11.0
TEMP000588,13.0,11.0
TEMP000589,14.0,8.0
TEMP000590,13.0,11.0
TEMP000591,11.0,15.0
TEMP000592,12.0,12.0
TEMP000593,13.0,9.0
TEMP000594,12.0,12.0
TEMP000595,11.0,14.0
TEMP000596,12.0,12.0
TEMP000597,12.0,12.0
TEMP000598,11.0,15.0
TEMP000599,13.0,10.0
TEMP000600,10.0,17.0
TEMP000601,12.0,12.0
TEMP000602,14.0,8.0
TEMP000603,11.0,15.0
TEMP000604,10.0,17.0
TEMP000605,10.0,17.0
TEMP000606,12.0,13.0
TEMP000607,11.0,14.0
TEMP000608,13.0,10.0
TEMP000609,45.0,47.0
TEMP000610,44.0,49.0
TEMP000611,48.0,41.0
TEMP000612,43.0,52.0
TEMP000613,41.0,56.0
TEMP000614,48.0,40.0
TEMP000615,44.0,50.0
TEMP000616,46.0,46.0
TEMP000617,46.0,46.0
TEMP000618,44.0,50.0
TEMP000619,49.0,39.0
TEMP000620,45.0,48.0
TEMP000621,46.0,46.0
TEMP000622,50.0,36.0
TEMP000623,45.0,47.0
TEMP000624,42.0,54.0
TEMP000625,48.0,41.0
TEMP000626,45.0,48.0
TEMP000627,48.0,41.0
TEMP000628,45.0,48.0
TEMP000629,47.0,43.0
TEMP000630,48.0,41.0
TEMP000631,43.0,53.0
TEMP000632,44.0,50.0
TEMP000633,46.0,45.0
TEMP000634,46.0,45.0
TEMP000635,47.0,44.0
TEMP000636,46.0,45.0
TEMP000637,45.0,47.0
TEMP000638,41.0,57.0
TEMP000639,44.0,49.0
TEMP000640,47.0,43.0
TEMP000641,49.0,39.0
TEMP000642,46.0,46.0
TEMP000643,48.0,40.0
TEMP000644,48.0,41.0
TEMP000645,46.0,45.0
TEMP000646,46.0,46.0
TEMP000647,45.0,47.0
TEMP000648,45.0,48.0
TEMP000649,48.0,41.0
TEMP000650,43.0,52.0
TEMP000651,46.0,46.0
TEMP000652,47.0,43.0
TEMP000653,45.0,48.0
TEMP000654,45.0,48.0
TEMP000655,46.0,45.0
TEMP000656,50.0,37.0
TEMP000657,46.0,45.0
TEMP000658,47.0,44.0
TEMP000659,46.0,45.0
TEMP000660,46.0,46.0
TEMP000661,32.0,22.0
TEMP000662,42.0,55.0
TEMP000663,47.0,43.0
TEMP000664,46.0,45.0
TEMP000665,46.0,45.0
TEMP000666,44.0,50.0
TEMP000667,51.0,34.0
TEMP000668,45.0,47.0
TEMP000669,47.0,43.0
TEMP000670,47.0,44.0
TEMP000671,45.0,48.0
TEMP000672,46.0,46.0
TEMP000673,44.0,51.0
TEMP000674,46.0,45.0
TEMP000675,46.0,45.0
TEMP000676,42.0,54.0
TEMP000677,44.0,50.0
TEMP000678,47.0,43.0
TEMP000679,47.0,43.0
TEMP000680,44.0,49.0
TEMP000681,43.0,53.0
TEMP000682,45.0,47.0
TEMP000683,47.0,43.0
TEMP000684,48.0,40.0
TEMP000685,47.0,43.0
TEMP000686,43.0,52.0
TEMP000687,44.0,51.0
TEMP000688,46.0,45.0
TEMP000689,45.0,47.0
TEMP000690,52.0,32.0
TEMP000691,47.0,42.0
TEMP000692,46.0,45.0
TEMP000693,46.0,45.0
TEMP000694,49.0,39.0
TEMP000695,49.0,39.0
TEMP000696,20.0,18.0
TEMP000697,46.0,45.0
TEMP000698,45.0,48.0
TEMP000699,49.0,38.0
TEMP000700,45.0,48.0
TEMP000701,43.0,53.0
TEMP000702,43.0,52.0
TEMP000703,47.0,44.0
TEMP000704,46.0,45.0
TEMP000705,45.0,47.0
TEMP000706,49.0,38.0
TEMP000707,48.0,41.0
TEMP000708,52.0,31.0
TEMP000709,44.0,49.0
TEMP000710,45.0,48.0
TEMP000711,45.0,48.0
TEMP000712,47.0,43.0
TEMP000713,44.0,50.0
TEMP000714,46.0,45.0
TEMP000715,49.0,39.0
TEMP000716,43.0,53.0
TEMP000717,46.0,46.0
TEMP000718,47.0,42.0
TEMP000719,45.0,47.0
TEMP000720,45.0,47.0
TEMP000721,46.0,45.0
TEMP000722,43.0,52.0
TEMP000723,43.0,53.0
TEMP000724,47.0,43.0
TEMP000725,19.0,22.0
TEMP000726,21.0,17.0
TEMP000727,19.0,22.0
TEMP000728,18.0,24.0
TEMP000729,20.0,19.0
TEMP000730,20.0,19.0
TEMP000731,21.0,16.0
TEMP000732,18.0,23.0
TEMP000733,19.0,22.0
TEMP000734,21.0,16.0
TEMP000735,21.0,17.0
TEMP000736,20.0,19.0
TEMP000737,19.0,21.0
TEMP000738,20.0,19.0
TEMP000739,20.0,20.0
TEMP000740,21.0,17.0
TEMP000741,20.0,19.0
TEMP000742,21.0,17.0
TEMP000743,21.0,17.0
TEMP000744,21.0,17.0
TEMP000745,21.0,16.0
TEMP000746,20.0,19.0
TEMP000747,20.0,20.0
TEMP000748,20.0,19.0
TEMP000749,21.0,16.0
TEMP000750,20.0,18.0
TEMP000751,18.0,24.0
TEMP000752,18.0,23.0
TEMP000753,19.0,21.0
TEMP000754,18.0,24.0
TEMP000755,19.0,22.0
TEMP000756,21.0,17.0
TEMP000757,19.0,21.0
TEMP000758,20.0,19.0
TEMP000759,19.0,21.0
TEMP000760,21.0,17.0
TEMP000761,20.0,20.0
TEMP000762,20.0,19.0
TEMP000763,19.0,21.0
TEMP000764,21.0,17.0
TEMP000765,20.0,20.0
TEMP000766,21.0,17.0
TEMP000767,21.0,16.0
TEMP000768,19.0,22.0
TEMP000769,16.0,28.0
TEMP000770,18.0,24.0
TEMP000771,19.0,17.0
TEMP000772,19.0,17.0
TEMP000773,17.0,22.0
TEMP000774,20.0,15.0
TEMP000775,20.0,14.0
TEMP000776,18.0,20.0
TEMP000777,18.0,19.0
TEMP000778,17.0,22.0
TEMP000779,19.0,17.0
TEMP000780,19.0,16.0
TEMP000781,17.0,22.0
TEMP000782,20.0,14.0
TEMP000783,18.0,20.0
TEMP000784,19.0,17.0
TEMP000785,18.0,19.0
TEMP000786,19.0,16.0
TEMP000787,18.0,19.0
TEMP000788,18.0,19.0
TEMP000789,19.0,16.0
TEMP000790,19.0,17.0
TEMP000791,18.0,19.0
TEMP000792,21.0,17.0
TEMP000793,20.0,18.0
TEMP000794,18.0,18.0
TEMP000795,18.0,18.0
TEMP000796,17.0,22.0
TEMP000797,18.0,19.0
TEMP000798,20.0,15.0
TEMP000799,19.0,17.0
TEMP000800,20.0,14.0
TEMP000801,20.0,14.0
TEMP000802,19.0,16.0
TEMP000803,19.0,17.0
TEMP000804,20.0,14.0
TEMP000805,18.0,18.0
TEMP000806,17.0,21.0
TEMP000807,19.0,16.0
TEMP000808,15.0,25.0
TEMP000809,18.0,19.0
TEMP000810,19.0,17.0
TEMP000811,17.0,22.0
TEMP000812,17.0,21.0
TEMP000813,18.0,19.0
TEMP000814,19.0,17.0
TEMP000815,15.0,25.0
TEMP000816,17.0,21.0
TEMP000817,18.0,18.0
TEMP000818,20.0,15.0
TEMP000819,18.0,18.0
TEMP000820,16.0,23.0
TEMP000821,18.0,20.0
TEMP000822,17.0,21.0
TEMP000823,20.0,14.0
TEMP000824,16.0,23.0
TEMP000825,17.0,21.0
TEMP000826,19.0,17.0
TEMP000827,19.0,16.0
TEMP000828,17.0,21.0
TEMP000829,16.0,24.0
TEMP000830,18.0,19.0
TEMP000831,18.0,18.0
TEMP000832,18.0,19.0
TEMP000833,18.0,19.0
TEMP000834,19.0,17.0
TEMP000835,20.0,14.0
TEMP000836,20.0,15.0
TEMP000837,13.0,10.0
TEMP000838,12.0,12.0
TEMP000839,13.0,11.0
TEMP000840,12.0,13.0
TEMP000841,12.0,13.0
TEMP000842,12.0,13.0
TEMP000843,10.0,17.0
TEMP000844,11.0,14.0
TEMP000845,15.0,5.0
TEMP000846,11.0,14.0
TEMP000847,12.0,12.0
TEMP000848,10.0,17.0
TEMP000849,14.0,8.0
TEMP000850,13.0,10.0
TEMP000851,13.0,11.0
TEMP000852,13.0,11.0
TEMP000853,11.0,15.0
TEMP000854,13.0,10.0
TEMP000855,11.0,14.0
TEMP000856,10.0,16.0
TEMP000857,12.0,12.0
TEMP000858,12.0,12.0
TEMP000859,12.0,13.0
TEMP000860,12.0,12.0
TEMP000861,12.0,13.0
TEMP000862,12.0,13.0
TEMP000863,12.0,13.0
TEMP000864,12.0,12.0
TEMP000865,13.0,11.0
TEMP000866,22.0,24.0
TEMP000867,11.0,15.0
TEMP000868,14.0,8.0
TEMP000869,12.0,13.0
TEMP000870,11.0,15.0
TEMP000871,10.0,17.0
TEMP000872,12.0,12.0
TEMP000873,12.0,13.0
TEMP000874,12.0,13.0
TEMP000875,12.0,12.0
TEMP000876,11.0,15.0
TEMP000877,13.0,10.0
TEMP000878,11.0,15.0
TEMP000879,11.0,14.0
TEMP000880,14.0,7.0
TEMP000881,12.0,12.0
TEMP000882,13.0,9.0
TEMP000883,11.0,14.0
TEMP000884,12.0,12.0
TEMP000885,13.0,9.0
TEMP000886,13.0,10.0
TEMP000887,11.0,15.0
TEMP000888,14.0,8.0
TEMP000889,14.0,8.0
TEMP000890,13.0,11.0
TEMP000891,12.0,12.0
TEMP000892,13.0,10.0
TEMP000893,13.0,11.0
TEMP000894,12.0,13.0
TEMP000895,12.0,12.0
TEMP000896,12.0,13.0
TEMP000897,13.0,9.0
TEMP000898,15.0,6.0
TEMP000899,14.0,8.0
TEMP000900,12.0,13.0
TEMP000901,12.0,13.0
TEMP000902,13.0,9.0
TEMP000903,11.0,14.0
TEMP000904,12.0,12.0
TEMP000905,12.0,12.0
TEMP000906,14.0,8.0
TEMP000907,12.0,13.0
TEMP000908,11.0,15.0
TEMP000909,13.0,9.0
TEMP000910,14.0,7.0
TEMP000911,11.0,14.0
TEMP000912,9.0,19.0
TEMP000913,12.0,12.0
TEMP000914,12.0,12.0
TEMP000915,12.0,12.0
TEMP000916,11.0,15.0
TEMP000917,12.0,12.0
TEMP000918,14.0,8.0
TEMP000919,12.0,13.0
TEMP000920,14.0,8.0
TEMP000921,12.0,13.0
TEMP000922,13.0,11.0
TEMP000923,11.0,14.0
TEMP000924,13.0,10.0
TEMP000925,12.0,12.0
TEMP000926,11.0,15.0
TEMP000927,11.0,15.0
TEMP000928,13.0,9.0
TEMP000929,42.0,55.0
TEMP000930,45.0,48.0
