household_id,geo_unit,original_pattern,actual_composition,household_size,num_kids,num_young_adults,num_adults,num_old_adults,residents
10,E00013392,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_479(age=6,sex=female); Person_6783(age=53,sex=female); Person_5793(age=42,sex=male)"
11,E00013392,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_412(age=5,sex=female); Person_5232(age=37,sex=male); Person_5166(age=37,sex=female)"
12,E00013392,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_758(age=9,sex=female); Person_5746(age=42,sex=female); Person_3007(age=25,sex=male)"
13,E00013392,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_147(age=2,sex=female); Person_3934(age=30,sex=female); Person_4496(age=32,sex=male)"
14,E00013392,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_481(age=6,sex=female); Person_5414(age=40,sex=female); Person_6112(age=46,sex=male)"
15,E00013392,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_1338(age=15,sex=female); Person_4571(age=33,sex=female); Person_6587(age=51,sex=male)"
16,E00013392,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_1039(age=11,sex=male); Person_6744(age=52,sex=male); Person_7356(age=60,sex=female)"
17,E00013392,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_1490(age=16,sex=male); Person_7178(age=57,sex=female); Person_7518(age=61,sex=male)"
18,E00013392,>=2 >=0 2 0,"Kids: 3, Young Adults: 0, Adults: 2, Old Adults: 0",5,3,0,2,0,"Person_593(age=7,sex=male); Person_852(age=10,sex=female); Person_3629(age=28,sex=female); Person_5747(age=42,sex=female); Person_1309(age=14,sex=male)"
19,E00013392,>=2 >=0 2 0,"Kids: 3, Young Adults: 0, Adults: 2, Old Adults: 0",5,3,0,2,0,"Person_1489(age=16,sex=male); Person_718(age=8,sex=male); Person_7087(age=56,sex=male); Person_6691(age=52,sex=female); Person_1592(age=17,sex=male)"
20,E00013392,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_891(age=10,sex=male); Person_231(age=3,sex=female); Person_6474(age=51,sex=female); Person_6114(age=46,sex=male)"
21,E00013392,>=2 >=0 2 0,"Kids: 4, Young Adults: 0, Adults: 2, Old Adults: 0",6,4,0,2,0,"Person_148(age=2,sex=female); Person_1590(age=17,sex=male); Person_5925(age=44,sex=male); Person_4770(age=35,sex=female); Person_1043(age=11,sex=male); Person_1341(age=15,sex=female)"
22,E00013392,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1405(age=15,sex=male); Person_1195(age=12,sex=male); Person_6385(age=50,sex=female); Person_7088(age=56,sex=male)"
23,E00013392,>=2 >=0 2 0,"Kids: 4, Young Adults: 0, Adults: 2, Old Adults: 0",6,4,0,2,0,"Person_230(age=3,sex=female); Person_1406(age=15,sex=male); Person_5890(age=44,sex=female); Person_5042(age=36,sex=male); Person_70(age=1,sex=male); Person_757(age=9,sex=female)"
24,E00013392,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1404(age=15,sex=male); Person_794(age=9,sex=male); Person_4899(age=36,sex=female); Person_4837(age=35,sex=male)"
25,E00013392,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1245(age=13,sex=female); Person_1528(age=17,sex=female); Person_6387(age=50,sex=female); Person_5233(age=37,sex=male)"
26,E00013392,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_667(age=8,sex=female); Person_480(age=6,sex=female); Person_5379(age=39,sex=male); Person_6967(age=56,sex=female)"
27,E00013392,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_322(age=4,sex=female); Person_1246(age=13,sex=female); Person_3862(age=29,sex=male); Person_5286(age=38,sex=female)"
28,E00013392,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1312(age=14,sex=male); Person_71(age=1,sex=male); Person_5038(age=36,sex=male); Person_5934(age=45,sex=female)"
29,E00013392,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_595(age=7,sex=male); Person_1143(age=12,sex=female); Person_6588(age=51,sex=male); Person_7175(age=57,sex=female)"
30,E00013392,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_930(age=11,sex=female); Person_1445(age=16,sex=female); Person_5924(age=44,sex=male); Person_6473(age=51,sex=female)"
31,E00013392,>=2 >=0 2 0,"Kids: 3, Young Adults: 0, Adults: 2, Old Adults: 0",5,3,0,2,0,"Person_669(age=8,sex=female); Person_1040(age=11,sex=male); Person_6006(age=46,sex=female); Person_5840(age=43,sex=female); Person_1589(age=17,sex=male)"
32,E00013392,>=2 >=0 2 0,"Kids: 4, Young Adults: 0, Adults: 2, Old Adults: 0",6,4,0,2,0,"Person_576(age=7,sex=female); Person_1266(age=13,sex=male); Person_5636(age=41,sex=male); Person_6471(age=51,sex=female); Person_719(age=8,sex=male); Person_1529(age=17,sex=female)"
33,E00013392,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_925(age=11,sex=female); Person_670(age=8,sex=female); Person_5336(age=39,sex=female); Person_3713(age=28,sex=male)"
34,E00013392,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1531(age=17,sex=female); Person_373(age=4,sex=male); Person_6001(age=46,sex=female); Person_5792(age=42,sex=male)"
35,E00013393,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_933(age=11,sex=female); Person_5643(age=41,sex=male); Person_5892(age=44,sex=female)"
36,E00013393,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_268(age=3,sex=male); Person_4499(age=32,sex=male); Person_6391(age=50,sex=female)"
37,E00013393,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_598(age=7,sex=male); Person_6476(age=51,sex=female); Person_6973(age=56,sex=female)"
38,E00013393,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_934(age=11,sex=female); Person_6117(age=46,sex=male); Person_6009(age=46,sex=female)"
39,E00013393,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_1044(age=11,sex=male); Person_6477(age=51,sex=female); Person_7733(age=64,sex=male)"
40,E00013393,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_150(age=2,sex=female); Person_6007(age=46,sex=female); Person_4617(age=33,sex=male)"
41,E00013393,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_932(age=11,sex=female); Person_1493(age=16,sex=male); Person_5520(age=41,sex=female); Person_5644(age=41,sex=male)"
42,E00013393,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1147(age=12,sex=female); Person_1532(age=17,sex=female); Person_5519(age=41,sex=female); Person_6593(age=51,sex=male)"
43,E00013393,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1594(age=17,sex=male); Person_2(age=0,sex=female); Person_6595(age=51,sex=male); Person_6390(age=50,sex=female)"
44,E00013395,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_232(age=3,sex=female); Person_6596(age=51,sex=male); Person_5522(age=41,sex=female)"
45,E00013395,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_893(age=10,sex=male); Person_4574(age=33,sex=female); Person_6746(age=52,sex=male)"
46,E00013395,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_153(age=2,sex=female); Person_152(age=2,sex=female); Person_4421(age=32,sex=female); Person_6598(age=51,sex=male)"
47,E00013395,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_798(age=9,sex=male); Person_937(age=11,sex=female); Person_3548(age=27,sex=male); Person_5418(age=40,sex=female)"
48,E00013395,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_600(age=7,sex=male); Person_1199(age=12,sex=male); Person_6936(age=55,sex=male); Person_4907(age=36,sex=female)"
49,E00013395,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1049(age=11,sex=male); Person_1048(age=11,sex=male); Person_4618(age=33,sex=male); Person_3432(age=27,sex=female)"
50,E00013395,>=2 >=0 2 0,"Kids: 4, Young Adults: 0, Adults: 2, Old Adults: 0",6,4,0,2,0,"Person_1313(age=14,sex=male); Person_760(age=9,sex=female); Person_6747(age=52,sex=male); Person_6480(age=51,sex=female); Person_936(age=11,sex=female); Person_1047(age=11,sex=male)"
51,E00013395,>=2 >=0 2 0,"Kids: 4, Young Adults: 0, Adults: 2, Old Adults: 0",6,4,0,2,0,"Person_935(age=11,sex=female); Person_327(age=4,sex=female); Person_7237(age=57,sex=male); Person_6011(age=46,sex=female); Person_1450(age=16,sex=female); Person_1449(age=16,sex=female)"
52,E00013411,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_1410(age=15,sex=male); Person_6981(age=56,sex=female); Person_6748(age=52,sex=male)"
53,E00013411,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_855(age=10,sex=female); Person_5799(age=42,sex=male); Person_3939(age=30,sex=female)"
54,E00013411,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_79(age=1,sex=male); Person_5651(age=41,sex=male); Person_5751(age=42,sex=female)"
55,E00013411,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_940(age=11,sex=female); Person_674(age=8,sex=female); Person_4020(age=30,sex=male); Person_3778(age=29,sex=female)"
56,E00013411,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1495(age=16,sex=male); Person_1345(age=15,sex=female); Person_4619(age=33,sex=male); Person_4423(age=32,sex=female)"
57,E00013411,>=2 >=0 2 0,"Kids: 4, Young Adults: 0, Adults: 2, Old Adults: 0",6,4,0,2,0,"Person_272(age=3,sex=male); Person_1200(age=12,sex=male); Person_6482(age=51,sex=female); Person_5652(age=41,sex=male); Person_155(age=2,sex=female); Person_80(age=1,sex=male)"
58,E00013414,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_1268(age=13,sex=male); Person_4282(age=31,sex=male); Person_6215(age=47,sex=female)"
59,E00013414,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_37(age=0,sex=male); Person_3944(age=30,sex=female); Person_5384(age=39,sex=male)"
60,E00013414,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_378(age=4,sex=male); Person_3108(age=26,sex=female); Person_5059(age=36,sex=male)"
61,E00013414,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_4(age=0,sex=female); Person_2933(age=25,sex=female); Person_5290(age=38,sex=female)"
62,E00013414,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_1346(age=15,sex=female); Person_5656(age=41,sex=male); Person_5420(age=40,sex=female)"
63,E00013414,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_857(age=10,sex=female); Person_3556(age=27,sex=male); Person_4115(age=31,sex=female)"
64,E00013414,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_1056(age=11,sex=male); Person_6021(age=46,sex=female); Person_4723(age=34,sex=male)"
65,E00013414,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_414(age=5,sex=female); Person_6605(age=51,sex=male); Person_4777(age=35,sex=female)"
66,E00013414,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_856(age=10,sex=female); Person_5240(age=37,sex=male); Person_6699(age=52,sex=female)"
67,E00013414,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1599(age=17,sex=male); Person_762(age=9,sex=female); Person_5344(age=39,sex=female); Person_6126(age=46,sex=male)"
68,E00013414,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_763(age=9,sex=female); Person_724(age=8,sex=male); Person_4577(age=33,sex=female); Person_6360(age=49,sex=male)"
69,E00013414,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1057(age=11,sex=male); Person_1203(age=12,sex=male); Person_5061(age=36,sex=male); Person_4912(age=36,sex=female)"
70,E00013414,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1347(age=15,sex=female); Person_1412(age=15,sex=male); Person_6604(age=51,sex=male); Person_6332(age=49,sex=female)"
71,E00013414,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1151(age=12,sex=female); Person_1150(age=12,sex=female); Person_3945(age=30,sex=female); Person_5472(age=40,sex=male)"
72,E00013414,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_942(age=11,sex=female); Person_1498(age=16,sex=male); Person_5869(age=43,sex=male); Person_6987(age=56,sex=female)"
73,E00013414,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_895(age=10,sex=male); Person_85(age=1,sex=male); Person_4111(age=31,sex=female); Person_4285(age=31,sex=male)"
74,E00013414,>=2 >=0 2 0,"Kids: 4, Young Adults: 0, Adults: 2, Old Adults: 0",6,4,0,2,0,"Person_723(age=8,sex=male); Person_1152(age=12,sex=female); Person_3784(age=29,sex=female); Person_5060(age=36,sex=male); Person_273(age=3,sex=male); Person_678(age=8,sex=female)"
75,E00013414,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_677(age=8,sex=female); Person_377(age=4,sex=male); Person_3441(age=27,sex=female); Person_4281(age=31,sex=male)"
76,E00013414,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1315(age=14,sex=male); Person_1053(age=11,sex=male); Person_7103(age=56,sex=male); Person_7534(age=61,sex=male)"
77,E00013414,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1600(age=17,sex=male); Person_486(age=6,sex=female); Person_5528(age=41,sex=female); Person_5659(age=41,sex=male)"
78,E00013414,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1058(age=11,sex=male); Person_82(age=1,sex=male); Person_6749(age=52,sex=male); Person_5529(age=41,sex=female)"
79,E00013414,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_274(age=3,sex=male); Person_761(age=9,sex=female); Person_6490(age=51,sex=female); Person_6123(age=46,sex=male)"
80,E00013415,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_681(age=8,sex=female); Person_3721(age=28,sex=male); Person_3647(age=28,sex=female)"
81,E00013415,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_1361(age=15,sex=female); Person_4782(age=35,sex=female); Person_6132(age=46,sex=male)"
82,E00013415,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_1538(age=17,sex=female); Person_7538(age=61,sex=male); Person_6897(age=55,sex=female)"
83,E00013415,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_383(age=4,sex=male); Person_5537(age=41,sex=female); Person_5803(age=42,sex=male)"
84,E00013415,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_87(age=1,sex=male); Person_2935(age=25,sex=female); Person_3298(age=26,sex=male)"
85,E00013415,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_1153(age=12,sex=female); Person_3874(age=29,sex=male); Person_3946(age=30,sex=female)"
86,E00013415,>=2 >=0 2 0,"Kids: 4, Young Adults: 0, Adults: 2, Old Adults: 0",6,4,0,2,0,"Person_491(age=6,sex=female); Person_858(age=10,sex=female); Person_5755(age=42,sex=female); Person_3873(age=29,sex=male); Person_682(age=8,sex=female); Person_279(age=3,sex=male)"
87,E00013415,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_725(age=8,sex=male); Person_280(age=3,sex=male); Person_5754(age=42,sex=female); Person_3557(age=27,sex=male)"
88,E00013415,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1453(age=16,sex=female); Person_950(age=11,sex=female); Person_6790(age=53,sex=female); Person_6361(age=49,sex=male)"
89,E00013415,>=2 >=0 2 0,"Kids: 3, Young Adults: 0, Adults: 2, Old Adults: 0",5,3,0,2,0,"Person_947(age=11,sex=female); Person_948(age=11,sex=female); Person_7362(age=60,sex=female); Person_6130(age=46,sex=male); Person_1062(age=11,sex=male)"
90,E00013415,>=2 >=0 2 0,"Kids: 4, Young Adults: 0, Adults: 2, Old Adults: 0",6,4,0,2,0,"Person_859(age=10,sex=female); Person_1416(age=15,sex=male); Person_5065(age=36,sex=male); Person_5421(age=40,sex=female); Person_1356(age=15,sex=female); Person_1353(age=15,sex=female)"
91,E00013415,>=2 >=0 2 0,"Kids: 3, Young Adults: 0, Adults: 2, Old Adults: 0",5,3,0,2,0,"Person_160(age=2,sex=female); Person_1063(age=11,sex=male); Person_4116(age=31,sex=female); Person_6439(age=50,sex=male); Person_489(age=6,sex=female)"
92,E00013415,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1317(age=14,sex=male); Person_1286(age=14,sex=female); Person_7537(age=61,sex=male); Person_7363(age=60,sex=female)"
93,E00013415,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1357(age=15,sex=female); Person_766(age=9,sex=female); Person_6494(age=51,sex=female); Person_6873(age=54,sex=male)"
94,E00013416,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_577(age=7,sex=female); Person_4292(age=31,sex=male); Person_5425(age=40,sex=female)"
95,E00013416,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_1251(age=13,sex=female); Person_4434(age=32,sex=female); Person_5245(age=37,sex=male)"
96,E00013416,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_1067(age=11,sex=male); Person_5758(age=42,sex=female); Person_6941(age=55,sex=male)"
97,E00013416,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_162(age=2,sex=female); Person_5244(age=37,sex=male); Person_6705(age=52,sex=female)"
98,E00013416,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_1068(age=11,sex=male); Person_7364(age=60,sex=female); Person_6615(age=51,sex=male)"
99,E00013416,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_1288(age=14,sex=female); Person_7109(age=56,sex=male); Person_6899(age=55,sex=female)"
100,E00013416,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_578(age=7,sex=female); Person_808(age=9,sex=male); Person_6614(age=51,sex=male); Person_6217(age=47,sex=female)"
101,E00013416,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_609(age=7,sex=male); Person_493(age=6,sex=female); Person_4929(age=36,sex=female); Person_3303(age=26,sex=male)"
102,E00013416,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_806(age=9,sex=male); Person_770(age=9,sex=female); Person_3789(age=29,sex=female); Person_6135(age=46,sex=male)"
103,E00013416,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_492(age=6,sex=female); Person_1287(age=14,sex=female); Person_4726(age=34,sex=male); Person_5067(age=36,sex=male)"
104,E00013416,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_88(age=1,sex=male); Person_768(age=9,sex=female); Person_3453(age=27,sex=female); Person_5665(age=41,sex=male)"
105,E00013416,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_419(age=5,sex=female); Person_953(age=11,sex=female); Person_6851(age=54,sex=female); Person_6612(age=51,sex=male)"
106,E00013416,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1540(age=17,sex=female); Person_494(age=6,sex=female); Person_4670(age=34,sex=female); Person_5386(age=39,sex=male)"
107,E00013416,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_807(age=9,sex=male); Person_687(age=8,sex=female); Person_5424(age=40,sex=female); Person_3305(age=26,sex=male)"
108,E00013416,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1362(age=15,sex=female); Person_1208(age=12,sex=male); Person_7450(age=61,sex=female); Person_6441(age=50,sex=male)"
109,E00013416,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_899(age=10,sex=male); Person_163(age=2,sex=female); Person_4125(age=31,sex=female); Person_4291(age=31,sex=male)"
110,E00013416,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_685(age=8,sex=female); Person_809(age=9,sex=male); Person_3947(age=30,sex=female); Person_5066(age=36,sex=male)"
111,E00013416,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_418(age=5,sex=female); Person_1209(age=12,sex=male); Person_5540(age=41,sex=female); Person_6267(age=47,sex=male)"
112,E00013417,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_165(age=2,sex=female); Person_3652(age=28,sex=female); Person_3726(age=28,sex=male)"
113,E00013417,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_811(age=9,sex=male); Person_5388(age=39,sex=male); Person_4436(age=32,sex=female)"
114,E00013417,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_961(age=11,sex=female); Person_3653(age=28,sex=female); Person_5671(age=41,sex=male)"
115,E00013417,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_234(age=3,sex=female); Person_3309(age=26,sex=male); Person_3455(age=27,sex=female)"
