person_id,person_sex,person_age,residence_type,residence_original_pattern,residence_geo_unit,venue_name,venue_type,Gender,NumberOfBoys,NumberOfGirls,NumberOfPupils,SchoolCapacity,StatutoryHighAge,StatutoryLowAge,is_residence
456,female,2,household,>=2 >=0 2 0,E00062311,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
457,female,2,household,1 >=0 2 0,E00062311,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
462,female,2,household,>=2 >=0 1 0,E00062313,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
463,female,2,household,>=2 >=0 2 0,E00062314,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
464,female,2,household,>=2 >=0 2 0,E00062314,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
465,female,2,household,1 >=0 1 0,E00062314,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
466,female,2,household,>=2 >=0 2 0,E00062314,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
467,female,2,household,>=2 >=0 1 0,E00062315,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
468,female,2,household,1 >=0 >=0 >=0,E00062315,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
469,female,2,household,>=2 >=0 2 0,E00062315,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
470,female,2,household,>=2 >=0 2 0,E00062315,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
471,female,2,household,1 >=0 1 0,E00062316,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
472,female,2,household,1 >=0 1 0,E00062317,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
473,female,2,household,1 >=0 1 0,E00062317,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
474,female,2,household,1 >=0 1 0,E00062318,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
475,female,2,household,1 >=0 2 0,E00062318,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
476,female,2,household,>=2 >=0 2 0,E00062318,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
477,female,2,household,>=2 >=0 2 0,E00062319,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
478,female,2,household,>=2 >=0 1 0,E00062319,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
485,female,2,household,1 >=0 2 0,E00062321,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
486,female,2,household,>=2 >=0 2 0,E00062321,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
487,female,2,household,>=2 >=0 1 0,E00062321,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
488,female,2,household,>=2 >=0 1 0,E00062321,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
489,female,2,household,1 >=0 2 0,E00062321,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
490,female,2,household,>=2 >=0 >=0 >=0,E00062322,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
491,female,2,household,1 >=0 >=0 >=0,E00062322,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
492,female,2,household,>=2 >=0 2 0,E00062322,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
493,female,2,household,>=2 >=0 2 0,E00062323,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
494,female,2,household,>=2 >=0 2 0,E00062323,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
495,female,2,household,1 >=0 2 0,E00062323,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
496,female,2,household,>=2 >=0 2 0,E00062324,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
497,female,2,household,>=2 >=0 2 0,E00062324,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
498,female,2,household,1 >=0 1 0,E00062324,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
499,female,2,household,>=2 >=0 2 0,E00062324,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
500,female,2,household,1 >=0 1 0,E00062358,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
501,female,2,household,1 >=0 2 0,E00062358,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
502,female,2,household,>=2 >=0 1 0,E00062358,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
503,female,2,household,>=2 >=0 1 0,E00062358,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
504,female,2,household,1 >=0 2 0,E00062358,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
505,female,2,household,>=2 >=0 1 0,E00062358,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
509,female,2,household,>=2 >=0 2 0,E00062362,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
510,female,2,household,>=2 >=0 2 0,E00062362,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
511,female,2,household,>=2 >=0 1 0,E00062363,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
515,female,2,household,1 >=0 1 0,E00062365,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
516,female,2,household,>=2 >=0 2 0,E00062365,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
517,female,2,household,1 >=0 2 0,E00062365,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
518,female,2,household,1 >=0 1 0,E00062365,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
519,female,2,household,>=2 >=0 2 0,E00062366,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
520,female,2,household,>=2 >=0 2 0,E00062366,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
521,female,2,household,1 >=0 1 0,E00062366,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
522,female,2,household,1 >=0 2 0,E00062367,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
523,female,2,household,1 >=0 2 0,E00062367,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
524,female,2,household,>=2 >=0 1 0,E00062368,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
525,female,2,household,>=2 >=0 1 0,E00062368,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
526,female,2,household,>=2 >=0 2 0,E00062368,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
527,female,2,household,>=2 >=0 1 0,E00062368,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
528,female,2,household,>=2 >=0 2 0,E00062369,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
529,female,2,household,>=2 >=0 1 0,E00062369,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
530,female,2,household,1 >=0 1 0,E00062369,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
531,female,2,household,>=2 >=0 2 0,E00062370,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
532,female,2,household,>=2 >=0 1 0,E00062370,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
533,female,2,household,>=2 >=0 2 0,E00062370,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
536,female,2,household,1 >=0 2 0,E00062372,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
537,female,2,household,1 >=0 2 0,E00062372,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
538,female,2,household,>=2 >=0 1 0,E00062373,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
682,male,2,household,>=2 >=0 1 0,E00062070,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
683,male,2,household,>=2 >=0 2 0,E00062309,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
685,male,2,household,>=2 >=0 2 0,E00062311,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
687,male,2,household,>=2 >=0 2 0,E00062314,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
688,male,2,household,1 >=0 2 0,E00062315,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
689,male,2,household,>=2 >=0 1 0,E00062315,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
690,male,2,household,1 >=0 2 0,E00062316,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
691,male,2,household,>=2 >=0 1 0,E00062317,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
692,male,2,household,1 >=0 1 0,E00062318,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
694,male,2,household,>=2 >=0 2 0,E00062321,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
695,male,2,household,>=2 >=0 2 0,E00062322,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
696,male,2,household,>=2 >=0 2 0,E00062323,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
697,male,2,household,1 >=0 1 0,E00062324,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
698,male,2,household,>=2 >=0 2 0,E00062358,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
699,male,2,household,1 >=0 2 0,E00062358,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
701,male,2,household,>=2 >=0 2 0,E00062368,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
702,male,2,household,1 >=0 1 0,E00062369,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
714,female,3,household,>=2 >=0 2 0,E00062061,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
715,female,3,household,>=2 >=0 2 0,E00062061,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
716,female,3,household,>=2 >=0 2 0,E00062061,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
717,female,3,household,>=2 >=0 1 0,E00062066,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
718,female,3,household,>=2 >=0 2 0,E00062067,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
719,female,3,household,>=2 >=0 1 0,E00062067,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
720,female,3,household,1 >=0 1 0,E00062068,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
721,female,3,household,>=2 >=0 1 0,E00062069,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
722,female,3,household,>=2 >=0 2 0,E00062069,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
723,female,3,household,>=2 >=0 2 0,E00062069,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
724,female,3,household,>=2 >=0 2 0,E00062070,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
725,female,3,household,>=2 >=0 2 0,E00062070,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
726,female,3,household,1 >=0 2 0,E00062309,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
727,female,3,household,>=2 >=0 2 0,E00062309,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
728,female,3,household,1 >=0 1 0,E00062309,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
729,female,3,household,>=2 >=0 1 0,E00062309,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
730,female,3,household,>=2 >=0 2 0,E00062310,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
731,female,3,household,>=2 >=0 1 0,E00062311,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
732,female,3,household,1 >=0 1 0,E00062311,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
733,female,3,household,>=2 >=0 1 0,E00062313,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
734,female,3,household,>=2 >=0 2 0,E00062313,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
735,female,3,household,1 >=0 1 0,E00062314,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
736,female,3,household,1 >=0 2 0,E00062314,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
737,female,3,household,>=2 >=0 2 0,E00062315,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
738,female,3,household,1 >=0 1 0,E00062316,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
739,female,3,household,>=2 >=0 2 0,E00062316,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
740,female,3,household,1 >=0 2 0,E00062317,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
741,female,3,household,1 >=0 2 0,E00062317,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
742,female,3,household,>=2 >=0 2 0,E00062318,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
743,female,3,household,>=2 >=0 1 0,E00062318,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
744,female,3,household,>=2 >=0 1 0,E00062319,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
745,female,3,household,>=2 >=0 2 0,E00062319,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
746,female,3,household,1 >=0 2 0,E00062321,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
747,female,3,household,>=2 >=0 1 0,E00062321,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
748,female,3,household,1 >=0 >=0 >=0,E00062322,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
749,female,3,household,1 >=0 2 0,E00062322,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
750,female,3,household,>=2 >=0 2 0,E00062322,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
751,female,3,household,>=2 >=0 2 0,E00062322,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
752,female,3,household,1 >=0 1 0,E00062323,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
753,female,3,household,>=2 >=0 2 0,E00062323,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
754,female,3,household,>=2 >=0 1 0,E00062323,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
755,female,3,household,1 >=0 2 0,E00062323,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
756,female,3,household,1 >=0 1 0,E00062323,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
757,female,3,household,>=2 >=0 2 0,E00062324,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
758,female,3,household,>=2 >=0 1 0,E00062358,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
759,female,3,household,>=2 >=0 1 0,E00062358,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
760,female,3,household,1 >=0 1 0,E00062359,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
761,female,3,household,1 >=0 2 0,E00062360,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
762,female,3,household,1 >=0 >=0 >=0,E00062361,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
763,female,3,household,>=2 >=0 2 0,E00062362,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
764,female,3,household,1 >=0 1 0,E00062362,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
765,female,3,household,>=2 >=0 2 0,E00062362,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
766,female,3,household,1 >=0 2 0,E00062363,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
767,female,3,household,1 >=0 1 0,E00062363,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
768,female,3,household,>=2 >=0 2 0,E00062363,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
769,female,3,household,1 >=0 1 0,E00062365,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
770,female,3,household,>=2 >=0 1 0,E00062365,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
771,female,3,household,>=2 >=0 2 0,E00062366,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
772,female,3,household,1 >=0 2 0,E00062367,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
773,female,3,household,1 >=0 1 0,E00062367,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
774,female,3,household,>=2 >=0 2 0,E00062367,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
775,female,3,household,>=2 >=0 1 0,E00062368,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
776,female,3,household,>=2 >=0 2 0,E00062369,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
777,female,3,household,>=2 >=0 1 0,E00062369,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
778,female,3,household,>=2 >=0 2 0,E00062370,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
779,female,3,household,>=2 >=0 2 0,E00062370,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
780,female,3,household,1 >=0 1 0,E00062371,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
781,female,3,household,>=2 >=0 1 0,E00062372,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
782,female,3,household,>=2 >=0 >=0 >=0,E00062372,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
783,female,3,household,>=2 >=0 2 0,E00062373,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
784,female,3,household,>=2 >=0 2 0,E00062373,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
785,female,3,household,>=2 >=0 2 0,E00062374,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
786,female,3,household,1 >=0 1 0,E00062376,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
787,female,3,household,>=2 >=0 2 0,E00062377,Corporation Road Community Primary School,school,Mixed,147.0,147.0,294.0,352.0,11.0,3.0,False
788,female,3,household,1 >=0 1 0,E00104959,Durham Cathedral Schools Foundation,school,Mixed,460.0,280.0,740.0,847.0,18.0,3.0,False
789,female,3,household,1 >=0 1 0,E00104959,Neville's Cross Primary School and Nursery,school,Mixed,145.0,144.0,289.0,297.0,11.0,3.0,False
790,female,3,household,1 >=0 2 0,E00104959,Neville's Cross Primary School and Nursery,school,Mixed,145.0,144.0,289.0,297.0,11.0,3.0,False
791,female,3,household,>=2 >=0 2 0,E00104959,Durham Cathedral Schools Foundation,school,Mixed,460.0,280.0,740.0,847.0,18.0,3.0,False
792,female,3,household,1 >=0 2 0,E00104959,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
793,female,3,household,1 >=0 2 0,E00104960,Durham Cathedral Schools Foundation,school,Mixed,460.0,280.0,740.0,847.0,18.0,3.0,False
794,female,3,household,>=2 >=0 2 0,E00104961,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
795,female,3,household,1 >=0 2 0,E00104961,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
796,female,3,household,1 >=0 1 0,E00104961,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
797,female,3,household,>=2 >=0 1 0,E00104962,Durham Cathedral Schools Foundation,school,Mixed,460.0,280.0,740.0,847.0,18.0,3.0,False
798,female,3,household,>=2 >=0 2 0,E00104963,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
799,female,3,household,>=2 >=0 2 0,E00104963,Durham Cathedral Schools Foundation,school,Mixed,460.0,280.0,740.0,847.0,18.0,3.0,False
800,female,3,household,1 >=0 1 0,E00104963,Durham Cathedral Schools Foundation,school,Mixed,460.0,280.0,740.0,847.0,18.0,3.0,False
801,female,3,household,>=2 >=0 1 0,E00104966,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
802,female,3,household,>=2 >=0 2 0,E00105049,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
803,female,3,household,>=2 >=0 2 0,E00105051,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
804,female,3,household,>=2 >=0 2 0,E00105056,Durham Cathedral Schools Foundation,school,Mixed,460.0,280.0,740.0,847.0,18.0,3.0,False
805,female,3,household,>=2 >=0 2 0,E00105056,Durham Cathedral Schools Foundation,school,Mixed,460.0,280.0,740.0,847.0,18.0,3.0,False
806,female,3,household,>=2 >=0 2 0,E00105056,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
807,female,3,household,>=2 >=0 2 0,E00105058,Durham Cathedral Schools Foundation,school,Mixed,460.0,280.0,740.0,847.0,18.0,3.0,False
808,female,3,household,>=2 >=0 2 0,E00105059,Durham Cathedral Schools Foundation,school,Mixed,460.0,280.0,740.0,847.0,18.0,3.0,False
809,female,3,household,>=2 >=0 2 0,E00105059,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
810,female,3,household,1 >=0 1 0,E00105102,Durham Cathedral Schools Foundation,school,Mixed,460.0,280.0,740.0,847.0,18.0,3.0,False
811,female,3,household,1 >=0 2 0,E00105104,Durham High School,school,Girls,0.0,730.0,730.0,730.0,18.0,3.0,False
812,female,3,household,1 >=0 2 0,E00105104,Durham Cathedral Schools Foundation,school,Mixed,460.0,280.0,740.0,847.0,18.0,3.0,False
813,female,3,household,1 >=0 1 0,E00105104,Durham Cathedral Schools Foundation,school,Mixed,460.0,280.0,740.0,847.0,18.0,3.0,False
